section	size_bytes	size_hex	addr	offset	align
.init	160	a0	80003100	80003100	0
.text	3129760	2fc1a0	800031a0	800031a0	0
.rodata	447380	6d394	802ff340	802ff340	0
.sdata2	82	52	8036c6d4	8036c6d4	0
.eh_frame_hdr	39124	98d4	8036c728	8036c728	0
.eh_frame	346612	549f4	80375ffc	80375ffc	0
.gcc_except_table	60	3c	803ca9f0	803ca9f0	0
.ctors	24	18	803caa2c	803caa2c	0
.dtors	16	10	803caa44	803caa44	0
.data	45016	afd8	803caa58	803caa58	0
.sdata	368	170	803d5a30	803d5a30	0
.sbss	1192	4a8	803d5ba0	803d5ba0	0
.bss	11751800	b35178	803d6048	803d6048	0
.comment	74	4a	0	0	0
.gnu.attributes	18	12	0	0	0
.debug_aranges	61320	ef88	0	0	0
.debug_info	7306666	6f7daa	0	0	0
.debug_abbrev	519286	7ec76	0	0	0
.debug_line	3885961	3b4b89	0	0	0
.debug_frame	288	120	0	0	0
.debug_str	408828	63cfc	0	0	0
.debug_line_str	542	21e	0	0	0
.debug_loclists	3861845	3aed55	0	0	0
.debug_rnglists	516169	7e049	0	0	0
