name	size_bytes	size_hex	type	addr
vid	3670048	380020	B	80afbd64
gc_gcmap_bootstrap_entities	768000	bb800	b	8082d504
cl	652944	9f690	B	8071cab0
sv_	637968	9bc10	B	8053af38
s_knownSfx	524288	80000	b	808fa690
gpMove.14	325072	4f5d0	b	807d10c0
gpMove.32	325072	4f5d0	b	804d59cc
r_images	319488	4e000	b	809f7ea4
net	295756	4834c	b	80464ce8
gx_fifo	262144	40000	b	80659980
r_leafkeys	262144	40000	B	80abbd18
clgame	259880	3f728	B	806c4880
mod_known	200704	31000	b	80429a28
g_studio	180320	2c060	b	80a64b78
gc_avi_static_frame	153600	25800	b	806999c0
gc_cinematic_pixels	153600	25800	b	80e82cc0
gc_gcmap_static_viewbuffer	153600	25800	b	809a1cf0
gc_gcmap_static_zbuffer	153600	25800	b	809c74f0
gc_probe_rgb565	153600	25800	b	805ecb60
gc_tiled_rgb565	153600	25800	b	80612360
gc_lowres_surfcache_store	131104	20020	b	80a90c00
gc_rgb565_to_sw	131072	20000	b	80ea84c0
s_mainStack	131072	20000	b	80eddde0
cls	101128	18b08	B	80703fa8
gc_studio_bss	86016	15000	b	804149c0
gc_newgame_cap_faces	62720	f500	b	80648b80
con	56972	de8c	b	807c2de4
gc_zip_inflate_scratch	49152	c000	b	80ecf6e4
__compound_literal.0	48640	be00	b	8097a760
frame_ents.1	44548	ae04	b	804c686c
gc_gcmap_bootstrap_packet_entities	43520	aa00	b	80822b04
blocklights	40960	a000	b	80ab0c30
fatal_panel.36	38400	9600	b	805d9ed4
gc_loading_bg	38400	9600	b	805e3520
svs_	33480	82c8	B	80532c70
msg_buf.2	33280	8200	b	804b7d50
ispow	32828	803c	b	80999aa0
net_message_buffer	32816	8030	B	8045ca28
cmd_text	32772	8004	b	803de2c8
filteredcmd_text	32772	8004	b	803d62c4
gc_parent_stack.14	32768	8000	b	803f8c4c
r_gx_tex_world_pool	32768	8000	b	809efaa0
celt_encode_with_ec	26436	6744	T	80234e94
gc_newgame_draw_surfs	25600	6400	b	80642780
voice	25200	6270	B	8098f018
xrcon	24720	6090	b	804b1cb8
gc_probe_edges_store	24672	6060	b	80a4fb20
gc_probe_surfaces_store	24672	6060	b	80a49ac0
gc_singleplayer_frames	24512	5fc0	b	804c0880
tonemasks	22848	5940	d	80359400
